5.1E+15,42774.48264,42779.60972,1,2,0,2
5.1E+15,42779.60972,0001-1-1,0,3,0,3
5.1E+15,43079.82153,42779.55764,1,1,0,1
5.1E+15,42778.58056,42779.29653,0,3,0,3
5.1E+15,42779.29722,42779.51389,1,4,0,4
5.1E+15,42779.3625,42779.42917,1,47,17,64
5.1E+15,0001-1-1,42779.43681,0,47,17,64
5.1E+15,42779.42917,42779.62431,1,48,17,65
5.1E+15,42779.62431,42779.72431,0,49,17,66
5.1E+15,42778.86319,42779.79722,1,24,1,25
5.1E+15,42779.79722,42779.89514,0,25,1,26
5.1E+15,42776.82986,42779.35278,1,3,3,6
5.1E+15,42778.34236,42779.34028,1,12,4,16
5.1E+15,42778.72361,42779.31597,1,19,5,24
5.1E+15,42779.31597,42779.7125,0,20,5,25
5.1E+15,42778.75694,42779.38333,0,17,8,25
5.1E+15,42779.38472,42779.60972,1,18,8,26
5.1E+15,42778.84861,42779.71875,Null,14,6,20
5.1E+15,42777.32778,42779.66111,1,24,0,24
5.1E+15,42779.66181,42779.75556,0,25,0,25
5.1E+15,42779.76181,42779.83056,1,26,0,26
5.1E+15,42778.78819,42779.42361,0,6,12,18
5.1E+15,42778.97847,42779.05486,0,26,9,35
5.1E+15,42777.55417,0001-1-1,Null,15,1,16
5.1E+15,42778.82292,42779.33819,1,23,0,23
5.1E+15,42779.33889,42779.81806,0,24,0,24
5.1E+15,41956.40833,42779.43194,1,1,0,1
5.1E+15,42779.43264,42779.44167,1,2,0,2
5.1E+15,42778.68472,42779.61458,0,7,0,7
5.1E+15,42779.61528,42779.70694,0,8,0,8
5.1E+15,42775.76111,42779.62778,1,4,2,6
5.1E+15,42778.52083,0001-1-1,Null,5,6,11
5.1E+15,42777.67569,42779.69236,1,19,0,19
5.1E+15,42778.76944,0001-1-1,Null,23,5,28
5.1E+15,42779.35347,0001-1-1,Null,24,5,29
5.1E+15,42778.96528,42779.33333,1,17,6,23
5.1E+15,42779.33333,42779.66528,0,18,6,24
5.1E+15,42778.35139,42779.34931,1,25,5,30
5.1E+15,42778.86042,42779.30625,0,23,2,25
5.1E+15,42779.85972,42779.86389,1,24,2,26
5.1E+15,42779.86528,42779.92847,0,25,2,27
5.1E+15,42778.66667,42779.64306,1,12,5,17
